lat,lon,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
40.5,-179.5,1.7945,2.1341,2.2193,2.1262,1.8895,1.5878,2.0117,3.0936,2.5788,2.273,1.8211,1.7059
41.5,-179.5,1.7647,2.0784,2.1852,2.0868,1.7242,1.3908,1.6385,2.5246,2.4751,2.2342,1.7434,1.596
42.5,-179.5,1.7081,2.0268,2.1238,2.0671,1.7266,1.2185,1.3663,2.0321,2.4271,2.1494,1.6668,1.5264
43.5,-179.5,1.6433,2.0309,2.1504,2.111,1.7592,1.0562,1.2458,1.7177,2.4727,2.1578,1.6574,1.5276
44.5,-179.5,1.6116,1.9925,2.1379,2.1566,1.6745,0.9319,1.051,1.4126,2.3429,2.1962,1.5799,1.4573
45.5,-179.5,1.6579,2.0789,2.311,2.3897,1.8084,0.9926,1.0226,1.369,2.4226,2.3674,1.6442,1.4717
46.5,-179.5,1.6296,2.0467,2.4919,2.4902,1.8312,1.0147,0.9336,1.1957,2.4086,2.4101,1.6246,1.4522
47.5,-179.5,1.6106,2.0155,2.5128,2.5013,1.7398,0.9886,0.8609,1.1599,2.3287,2.3719,1.5919,1.4268
48.5,-179.5,1.535,1.8936,2.4401,2.5042,1.7465,0.9348,0.827,1.1261,2.2138,2.3078,1.5631,1.3805
49.5,-179.5,1.4666,1.8036,2.3806,2.5529,1.722,0.9413,0.8292,1.128,2.2034,2.1886,1.4813,1.2722
50.5,-179.5,1.3848,1.6898,2.3537,2.5654,1.781,0.919,0.839,1.1554,2.2862,2.1922,1.4155,1.1594
51.5,-179.5,1.3682,1.7539,2.7319,3.3142,2.9724,2.419,2.0357,2.1953,2.7965,2.5092,1.5588,1.1784
52.5,-179.5,1.2626,1.5828,2.5006,2.8205,2.3923,1.8281,1.4633,1.8125,2.4302,2.2786,1.421,1.105
53.5,-179.5,1.1729,1.5144,2.3563,2.6369,2.0767,1.5398,1.2811,1.5751,2.3141,2.1336,1.3152,1.0212
54.5,-179.5,1.0956,1.5005,2.2958,2.7509,2.3126,2.1269,1.6781,1.7146,2.2625,2.0194,1.2365,0.9612
55.5,-179.5,1.0118,1.4179,2.2397,2.741,2.3618,2.2428,1.8425,1.8002,2.3114,1.8667,1.1873,0.8542
56.5,-179.5,0.9331,1.3579,2.1086,2.6669,2.4252,2.3818,1.9459,1.9454,2.3587,1.7201,1.0942,0.7308
57.5,-179.5,0.8556,1.2895,2.0501,2.6328,2.5279,2.6635,2.1,2.0177,2.322,1.6632,1.0082,0.6521
58.5,-179.5,0.7807,1.1494,2.1338,2.5846,2.7442,2.9815,2.341,2.0772,2.2682,1.5967,0.9492,0.4831
59.5,-179.5,0.6444,1.0464,2.3107,2.7151,2.9232,3.1164,2.3647,2.2642,2.2742,1.505,0.8702,0.3466
40.5,-178.5,1.8528,2.1893,2.214,2.1223,1.8941,1.601,2.059,3.1769,2.6518,2.293,1.8569,1.6543
41.5,-178.5,1.7885,2.0887,2.2073,2.083,1.7395,1.3855,1.6903,2.5858,2.5387,2.2123,1.7827,1.6306
42.5,-178.5,1.692,2.0177,2.1514,2.111,1.7179,1.2331,1.4054,2.0767,2.4857,2.2159,1.6853,1.5998
43.5,-178.5,1.6714,2.0191,2.1902,2.1564,1.781,1.1112,1.2185,1.6985,2.4569,2.2018,1.6747,1.5473
44.5,-178.5,1.6414,2.0179,2.1506,2.1326,1.7398,0.9581,1.0385,1.4489,2.3662,2.2622,1.6152,1.4585
45.5,-178.5,1.6579,2.0789,2.311,2.3897,1.8084,0.9926,1.0226,1.369,2.4226,2.3674,1.6442,1.4717
46.5,-178.5,1.6296,2.0467,2.4919,2.4902,1.8312,1.0147,0.9336,1.1957,2.4086,2.4101,1.6246,1.4522
47.5,-178.5,1.6106,2.0155,2.5128,2.5013,1.7398,0.9886,0.8609,1.1599,2.3287,2.3719,1.5919,1.4268
48.5,-178.5,1.535,1.8936,2.4401,2.5042,1.7465,0.9348,0.827,1.1261,2.2138,2.3078,1.5631,1.3805
49.5,-178.5,1.4666,1.8036,2.3806,2.5529,1.722,0.9413,0.8292,1.128,2.2034,2.1886,1.4813,1.2722
50.5,-178.5,1.3848,1.6898,2.3537,2.5654,1.781,0.919,0.839,1.1554,2.2862,2.1922,1.4155,1.1594
51.5,-178.5,1.3682,1.7539,2.7319,3.3142,2.9724,2.419,2.0357,2.1953,2.7965,2.5092,1.5588,1.1784
52.5,-178.5,1.2626,1.5828,2.5006,2.8205,2.3923,1.8281,1.4633,1.8125,2.4302,2.2786,1.421,1.105
53.5,-178.5,1.1729,1.5144,2.3563,2.6369,2.0767,1.5398,1.2811,1.5751,2.3141,2.1336,1.3152,1.0212
54.5,-178.5,1.0956,1.5005,2.2958,2.7509,2.3126,2.1269,1.6781,1.7146,2.2625,2.0194,1.2365,0.9612
55.5,-178.5,1.0118,1.4179,2.2397,2.741,2.3618,2.2428,1.8425,1.8002,2.3114,1.8667,1.1873,0.8542
56.5,-178.5,0.9331,1.3579,2.1086,2.6669,2.4252,2.3818,1.9459,1.9454,2.3587,1.7201,1.0942,0.7308
57.5,-178.5,0.8556,1.2895,2.0501,2.6328,2.5279,2.6635,2.1,2.0177,2.322,1.6632,1.0082,0.6521
58.5,-178.5,0.7807,1.1494,2.1338,2.5846,2.7442,2.9815,2.341,2.0772,2.2682,1.5967,0.9492,0.4831
59.5,-178.5,0.6444,1.0464,2.3107,2.7151,2.9232,3.1164,2.3647,2.2642,2.2742,1.505,0.8702,0.3466
40.5,-177.5,1.7947,2.0359,2.1194,2.2382,1.8648,1.6159,2.1439,3.1985,2.557,2.2205,1.7798,1.6385
41.5,-177.5,1.7491,1.9466,2.095,2.1041,1.7405,1.41,1.7611,2.6129,2.4312,2.1598,1.7614,1.6298
42.5,-177.5,1.6978,1.9082,2.0491,2.1245,1.7762,1.2672,1.4402,2.0532,2.389,2.1528,1.685,1.5938
43.5,-177.5,1.6889,1.961,2.0609,2.1686,1.8466,1.1225,1.1724,1.6529,2.3467,2.1648,1.6673,1.5245
44.5,-177.5,1.6668,1.9423,2.129,2.1384,1.8221,0.9881,1.0001,1.4254,2.2622,2.2234,1.6013,1.4359
45.5,-177.5,1.661,2.0074,2.3215,2.3484,1.9678,1.0562,1.0085,1.3745,2.3472,2.3923,1.6471,1.44
46.5,-177.5,1.5854,2.0105,2.3345,2.4334,1.9776,0.9869,0.9084,1.2665,2.3635,2.3508,1.6082,1.4059
47.5,-177.5,1.5444,2.0102,2.3177,2.477,1.9853,0.9799,0.9067,1.1851,2.3285,2.3196,1.6094,1.3805
48.5,-177.5,1.505,1.9334,2.3662,2.6374,1.932,1.0006,0.8621,1.1798,2.2702,2.2433,1.5727,1.3862
49.5,-177.5,1.4443,1.8206,2.3393,2.7454,1.8523,0.977,0.8153,1.1458,2.2049,2.1046,1.4866,1.2842
50.5,-177.5,1.3742,1.721,2.2944,2.7096,1.9973,1.0322,0.8508,1.1957,2.2193,2.0897,1.4297,1.1623
51.5,-177.5,1.3471,1.7182,2.5973,3.2638,3.2698,2.8258,2.2596,2.3218,2.7984,2.3731,1.5509,1.1669
