lat,lon,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
40.5,-179.5,1.6601,2.3554,3.1886,3.9905,4.4184,4.398,4.6162,4.7297,3.6823,2.6426,1.7573,1.4414
41.5,-179.5,1.591,2.2433,3.1301,3.9194,4.357,4.2703,4.3956,4.4136,3.5666,2.5589,1.662,1.3426
42.5,-179.5,1.5161,2.1562,3.0523,3.8791,4.319,4.153,4.2514,4.1302,3.4778,2.4924,1.589,1.271
43.5,-179.5,1.439,2.0765,2.9832,3.8594,4.284,4.0555,4.133,3.8995,3.4118,2.4173,1.512,1.2034
44.5,-179.5,1.3601,1.9942,2.9328,3.8114,4.201,3.973,4.0205,3.6852,3.2916,2.3448,1.4117,1.1107
45.5,-179.5,1.2806,1.9474,2.9064,3.8234,4.1626,3.9204,3.937,3.5575,3.2196,2.287,1.3469,1.0507
46.5,-179.5,1.2074,1.8802,2.8987,3.8388,4.1618,3.9036,3.8755,3.4512,3.1644,2.2303,1.2686,0.9696
47.5,-179.5,1.1376,1.8077,2.8541,3.8282,4.0697,3.8834,3.7754,3.3324,3.055,2.1564,1.2031,0.9043
48.5,-179.5,1.0558,1.7213,2.7782,3.7963,4.0378,3.7886,3.6898,3.2443,2.9494,2.0858,1.1474,0.8402
49.5,-179.5,0.9679,1.6332,2.6921,3.7637,3.9823,3.7414,3.6365,3.2129,2.8697,1.9867,1.0666,0.7586
50.5,-179.5,0.8724,1.5214,2.5973,3.6934,3.9247,3.7157,3.5784,3.1654,2.8507,1.9406,0.9895,0.6797
51.5,-179.5,0.785,1.4189,2.5006,3.6775,3.9874,4.0577,3.8674,3.3744,2.7773,1.9042,0.9362,0.6175
52.5,-179.5,0.7003,1.3284,2.3873,3.498,3.8587,3.8935,3.6379,3.2134,2.6839,1.787,0.8537,0.5498
53.5,-179.5,0.6283,1.247,2.3198,3.4574,3.8971,3.8765,3.5962,3.12,2.6172,1.6793,0.7714,0.479
54.5,-179.5,0.5628,1.1712,2.2418,3.3852,3.9185,3.953,3.689,3.1046,2.527,1.5679,0.7018,0.4212
55.5,-179.5,0.4942,1.0764,2.1562,3.3098,3.889,4.0658,3.7219,3.0847,2.4938,1.4652,0.6362,0.3614
56.5,-179.5,0.4294,0.9876,2.0366,3.2484,3.8791,4.1647,3.7745,3.0852,2.4631,1.3555,0.5674,0.3053
57.5,-179.5,0.3682,0.8966,1.939,3.173,3.847,4.2187,3.8352,3.09,2.3772,1.2715,0.4922,0.2491
58.5,-179.5,0.312,0.8011,1.8658,3.0588,3.8417,4.285,3.8933,3.0778,2.309,1.1779,0.4238,0.1987
59.5,-179.5,0.2614,0.7397,1.9022,3.103,3.9202,4.3296,3.8863,3.1116,2.2392,1.0795,0.3691,0.1558
40.5,-178.5,1.6884,2.3626,3.205,4.0099,4.4489,4.4134,4.6452,4.7681,3.7097,2.67,1.7722,1.4249
41.5,-178.5,1.5842,2.2591,3.1339,3.9372,4.3766,4.2706,4.4386,4.4633,3.5815,2.5606,1.6829,1.3538
42.5,-178.5,1.5074,2.1499,3.0689,3.9137,4.3118,4.1556,4.2758,4.1808,3.5105,2.5097,1.5874,1.2794
43.5,-178.5,1.441,2.0926,3.0,3.8731,4.2869,4.0901,4.145,3.9089,3.4152,2.4312,1.5118,1.2103
44.5,-178.5,1.3553,2.0196,2.9395,3.8158,4.2182,3.9917,4.0176,3.7118,3.3034,2.3791,1.441,1.1174
45.5,-178.5,1.2806,1.9474,2.9064,3.8234,4.1626,3.9204,3.937,3.5575,3.2196,2.287,1.3469,1.0507
46.5,-178.5,1.2074,1.8802,2.8987,3.8388,4.1618,3.9036,3.8755,3.4512,3.1644,2.2303,1.2686,0.9696
47.5,-178.5,1.1376,1.8077,2.8541,3.8282,4.0697,3.8834,3.7754,3.3324,3.055,2.1564,1.2031,0.9043
48.5,-178.5,1.0558,1.7213,2.7782,3.7963,4.0378,3.7886,3.6898,3.2443,2.9494,2.0858,1.1474,0.8402
49.5,-178.5,0.9679,1.6332,2.6921,3.7637,3.9823,3.7414,3.6365,3.2129,2.8697,1.9867,1.0666,0.7586
50.5,-178.5,0.8724,1.5214,2.5973,3.6934,3.9247,3.7157,3.5784,3.1654,2.8507,1.9406,0.9895,0.6797
51.5,-178.5,0.785,1.4189,2.5006,3.6775,3.9874,4.0577,3.8674,3.3744,2.7773,1.9042,0.9362,0.6175
52.5,-178.5,0.7003,1.3284,2.3873,3.498,3.8587,3.8935,3.6379,3.2134,2.6839,1.787,0.8537,0.5498
53.5,-178.5,0.6283,1.247,2.3198,3.4574,3.8971,3.8765,3.5962,3.12,2.6172,1.6793,0.7714,0.479
54.5,-178.5,0.5628,1.1712,2.2418,3.3852,3.9185,3.953,3.689,3.1046,2.527,1.5679,0.7018,0.4212
55.5,-178.5,0.4942,1.0764,2.1562,3.3098,3.889,4.0658,3.7219,3.0847,2.4938,1.4652,0.6362,0.3614
56.5,-178.5,0.4294,0.9876,2.0366,3.2484,3.8791,4.1647,3.7745,3.0852,2.4631,1.3555,0.5674,0.3053
57.5,-178.5,0.3682,0.8966,1.939,3.173,3.847,4.2187,3.8352,3.09,2.3772,1.2715,0.4922,0.2491
58.5,-178.5,0.312,0.8011,1.8658,3.0588,3.8417,4.285,3.8933,3.0778,2.309,1.1779,0.4238,0.1987
59.5,-178.5,0.2614,0.7397,1.9022,3.103,3.9202,4.3296,3.8863,3.1116,2.2392,1.0795,0.3691,0.1558
40.5,-177.5,1.6766,2.3426,3.1872,4.0279,4.4609,4.4525,4.705,4.7866,3.6703,2.6688,1.7606,1.4182
41.5,-177.5,1.5823,2.2462,3.1097,3.9384,4.3574,4.3337,4.4753,4.5007,3.5546,2.5493,1.6834,1.343
42.5,-177.5,1.513,2.1559,3.0478,3.9082,4.3154,4.2324,4.2936,4.1926,3.4673,2.4725,1.5869,1.2641
43.5,-177.5,1.4465,2.0875,2.9693,3.8501,4.2907,4.0961,4.164,3.8914,3.3684,2.3935,1.5084,1.188
44.5,-177.5,1.3615,2.0136,2.9268,3.8018,4.2264,4.0469,4.0248,3.6977,3.277,2.3544,1.4345,1.11
45.5,-177.5,1.2694,1.9601,2.8956,3.8062,4.2062,3.985,3.9473,3.5606,3.2033,2.279,1.3625,1.0382
46.5,-177.5,1.1902,1.8895,2.8555,3.8486,4.2036,3.9509,3.8801,3.4442,3.1385,2.2073,1.2792,0.9674
47.5,-177.5,1.1117,1.813,2.7926,3.8357,4.1431,3.9274,3.8105,3.3593,3.047,2.1374,1.2194,0.8981
48.5,-177.5,1.0394,1.7335,2.7694,3.8686,4.1206,3.9269,3.7296,3.2794,2.9714,2.0546,1.1513,0.8438
49.5,-177.5,0.9619,1.6346,2.6947,3.8549,4.0562,3.8966,3.6629,3.2016,2.8877,1.9591,1.0706,0.763
