lat,lon,DNI_1,DNI_2,DNI_3,DNI_4,DNI_5,DNI_6,DNI_7,DNI_8,DNI_9,DNI_10,DNI_11,DNI_12,GHI_1,GHI_2,GHI_3,GHI_4,GHI_5,GHI_6,GHI_7,GHI_8,GHI_9,GHI_10,GHI_11,GHI_12,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,W_1,W_2,W_3,W_4,W_5,W_6,W_7,W_8,W_9,W_10,W_11,W_12
40.5,-177.5,1.7947,2.0359,2.1194,2.2382,1.8648,1.6159,2.1439,3.1985,2.557,2.2205,1.7798,1.6385,1.6766,2.3426,3.1872,4.0279,4.4609,4.4525,4.705,4.7866,3.6703,2.6688,1.7606,1.4182,8.91,8.55,8.94,9.52,10.75,13.19,17.5,20.24,18.42,15.31,13.03,10.61,12.93,12.7,11.3,10.35,8.73,7.85,7.42,7.32,8.26,9.79,11.15,12.95
41.5,-177.5,1.7491,1.9466,2.095,2.1041,1.7405,1.41,1.7611,2.6129,2.4312,2.1598,1.7614,1.6298,1.5823,2.2462,3.1097,3.9384,4.3574,4.3337,4.4753,4.5007,3.5546,2.5493,1.6834,1.343,7.95,7.64,8.01,8.57,9.74,11.94,16.16,19.03,17.24,14.17,11.99,9.58,12.7,12.71,11.48,10.63,8.96,7.9,7.52,7.49,8.43,9.95,11.4,13.0
42.5,-177.5,1.6978,1.9082,2.0491,2.1245,1.7762,1.2672,1.4402,2.0532,2.389,2.1528,1.685,1.5938,1.513,2.1559,3.0478,3.9082,4.3154,4.2324,4.2936,4.1926,3.4673,2.4725,1.5869,1.2641,7.0,6.7,6.97,7.43,8.55,10.69,14.77,17.66,16.08,13.09,10.93,8.55,12.47,12.7,11.56,10.77,9.06,7.93,7.7,7.62,8.53,10.17,11.58,12.98
43.5,-177.5,1.6889,1.961,2.0609,2.1686,1.8466,1.1225,1.1724,1.6529,2.3467,2.1648,1.6673,1.5245,1.4465,2.0875,2.9693,3.8501,4.2907,4.0961,4.164,3.8914,3.3684,2.3935,1.5084,1.188,6.0,5.74,6.0,6.46,7.57,9.57,13.52,16.33,14.98,12.12,9.87,7.48,12.15,12.63,11.57,10.97,9.15,8.01,7.84,7.71,8.71,10.44,11.8,12.99
44.5,-177.5,1.6668,1.9423,2.129,2.1384,1.8221,0.9881,1.0001,1.4254,2.2622,2.2234,1.6013,1.4359,1.3615,2.0136,2.9268,3.8018,4.2264,4.0469,4.0248,3.6977,3.277,2.3544,1.4345,1.11,5.13,4.91,5.14,5.58,6.74,8.7,12.35,15.02,13.91,11.17,8.85,6.51,11.9,12.59,11.57,11.17,9.24,8.11,7.96,7.81,8.97,10.68,11.99,12.97
45.5,-177.5,1.661,2.0074,2.3215,2.3484,1.9678,1.0562,1.0085,1.3745,2.3472,2.3923,1.6471,1.44,1.2694,1.9601,2.8956,3.8062,4.2062,3.985,3.9473,3.5606,3.2033,2.279,1.3625,1.0382,4.35,4.16,4.35,4.85,6.06,7.95,11.36,13.94,12.98,10.34,7.96,5.61,11.65,12.4,11.45,11.23,9.29,8.07,8.05,7.88,9.17,10.88,12.08,12.92
46.5,-177.5,1.5854,2.0105,2.3345,2.4334,1.9776,0.9869,0.9084,1.2665,2.3635,2.3508,1.6082,1.4059,1.1902,1.8895,2.8555,3.8486,4.2036,3.9509,3.8801,3.4442,3.1385,2.2073,1.2792,0.9674,3.68,3.51,3.73,4.26,5.48,7.36,10.51,12.99,12.21,9.65,7.17,4.88,11.53,12.29,11.3,11.17,9.32,8.02,8.04,7.96,9.42,11.07,12.09,12.88
47.5,-177.5,1.5444,2.0102,2.3177,2.477,1.9853,0.9799,0.9067,1.1851,2.3285,2.3196,1.6094,1.3805,1.1117,1.813,2.7926,3.8357,4.1431,3.9274,3.8105,3.3593,3.047,2.1374,1.2194,0.8981,3.18,3.05,3.27,3.86,5.08,6.96,9.95,12.28,11.57,9.06,6.53,4.33,11.41,12.25,11.23,11.09,9.29,8.02,8.01,8.04,9.66,11.24,12.08,12.87
48.5,-177.5,1.505,1.9334,2.3662,2.6374,1.932,1.0006,0.8621,1.1798,2.2702,2.2433,1.5727,1.3862,1.0394,1.7335,2.7694,3.8686,4.1206,3.9269,3.7296,3.2794,2.9714,2.0546,1.1513,0.8438,2.78,2.65,2.84,3.49,4.76,6.69,9.47,11.7,11.05,8.55,5.99,3.83,11.18,12.07,11.03,10.83,9.17,7.96,7.91,8.09,9.79,11.26,12.04,12.7
49.5,-177.5,1.4443,1.8206,2.3393,2.7454,1.8523,0.977,0.8153,1.1458,2.2049,2.1046,1.4866,1.2842,0.9619,1.6346,2.6947,3.8549,4.0562,3.8966,3.6629,3.2016,2.8877,1.9591,1.0706,0.763,2.54,2.39,2.59,3.31,4.65,6.53,9.07,11.32,10.63,8.15,5.63,3.56,10.93,11.86,10.82,10.59,9.06,7.83,7.78,8.09,9.88,11.19,11.99,12.53
50.5,-177.5,1.3742,1.721,2.2944,2.7096,1.9973,1.0322,0.8508,1.1957,2.2193,2.0897,1.4297,1.1623,0.8676,1.5254,2.6165,3.7829,4.0481,3.8626,3.5988,3.1622,2.809,1.8931,0.9938,0.6845,2.38,2.25,2.47,3.27,4.67,6.6,8.92,10.96,10.24,7.77,5.34,3.38,10.72,11.66,10.59,10.39,8.89,7.7,7.53,8.02,9.87,11.0,11.88,12.2
51.5,-177.5,1.3471,1.7182,2.5973,3.2638,3.2698,2.8258,2.2596,2.3218,2.7984,2.3731,1.5509,1.1669,0.7613,1.3726,2.4158,3.563,3.9521,4.0478,3.7994,3.2431,2.7151,1.8254,0.919,0.6,2.1,2.07,2.34,3.2,4.61,6.35,8.35,10.02,9.12,6.89,4.77,2.94,10.41,11.41,10.32,10.0,8.52,7.4,7.14,7.79,9.44,10.39,11.43,11.56
52.5,-177.5,1.2696,1.5941,2.5644,3.0953,2.9844,2.4367,2.0206,2.1401,2.5579,2.1929,1.4599,1.1138,0.7073,1.3126,2.3652,3.4831,3.9084,4.0106,3.7344,3.217,2.6506,1.7359,0.8558,0.5515,1.92,1.89,2.06,2.88,4.29,6.11,8.08,9.76,9.19,6.92,4.65,2.78,10.48,11.43,10.32,9.86,8.37,7.35,7.11,7.81,9.44,10.61,11.4,11.37
