lat,lon,DNI_1,DNI_2,DNI_3,DNI_4,DNI_5,DNI_6,DNI_7,DNI_8,DNI_9,DNI_10,DNI_11,DNI_12,GHI_1,GHI_2,GHI_3,GHI_4,GHI_5,GHI_6,GHI_7,GHI_8,GHI_9,GHI_10,GHI_11,GHI_12,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,W_1,W_2,W_3,W_4,W_5,W_6,W_7,W_8,W_9,W_10,W_11,W_12
-58,-180,4.2454,3.5218,2.5462,1.6421,1.0416,0.6216,0.912,1.519,2.1074,3.3864,4.2986,4.3742,4.8943,3.7488,2.3124,1.0822,0.4426,0.2302,0.3377,0.8242,1.8091,3.3048,4.6306,5.1842,5.69,5.85,5.55,4.56,3.51,2.55,2.28,2.55,2.45,2.7,3.51,4.84,11.02,11.88,12.92,13.32,12.98,12.98,12.99,12.7,12.83,12.76,11.37,10.81
-58,-176,4.2737,3.5777,2.4914,1.6219,1.0471,0.6065,0.9072,1.4604,2.009,3.2165,4.1364,4.3692,4.8475,3.768,2.3114,1.0738,0.4421,0.2306,0.342,0.8141,1.7954,3.2674,4.5482,5.1086,5.68,5.9,5.55,4.47,3.48,2.48,2.14,2.48,2.33,2.65,3.46,4.83,10.97,11.86,12.95,13.19,13.03,12.82,12.93,12.71,12.74,12.62,11.35,10.65
-58,-172,4.2434,3.5717,2.4367,1.633,1.0675,0.6223,0.9312,1.4815,2.1187,3.1663,4.1234,4.2458,4.818,3.757,2.3095,1.0841,0.4445,0.2414,0.3494,0.821,1.8096,3.3122,4.6102,5.1098,5.32,5.56,5.27,4.14,3.18,2.19,1.73,2.01,2.0,2.32,3.14,4.44,10.94,11.66,12.85,12.95,13.01,12.56,12.68,12.51,12.73,12.39,11.18,10.58
-58,-168,4.0896,3.5532,2.4917,1.7146,1.0673,0.69,0.9353,1.4875,2.0494,3.2045,4.1988,4.0618,4.7954,3.7577,2.3033,1.1021,0.4478,0.2388,0.3413,0.8345,1.8185,3.3262,4.6138,5.059,4.93,5.22,4.96,3.83,2.83,1.87,1.35,1.56,1.52,1.86,2.73,3.99,10.92,11.55,12.7,12.75,12.93,12.36,12.45,12.42,12.74,12.24,11.22,10.65
-58,-164,3.6588,3.1872,2.2313,1.7148,1.0903,0.6739,0.9403,1.5413,1.9848,2.9117,3.6262,3.2894,4.6728,3.6931,2.2476,1.0877,0.4536,0.2419,0.3463,0.835,1.7952,3.2479,4.5365,4.9728,4.58,4.86,4.61,3.51,2.54,1.61,1.04,1.16,1.19,1.51,2.39,3.56,10.94,11.64,12.57,12.7,13.0,12.33,12.47,12.31,12.85,12.15,11.4,10.63
-58,-160,3.6235,3.1536,2.2332,1.6529,1.1021,0.6281,0.9468,1.5538,1.9003,2.8397,3.4603,3.4481,4.7122,3.7303,2.2668,1.1009,0.4613,0.2441,0.3514,0.8431,1.7981,3.2734,4.4486,4.9889,3.87,4.21,3.94,2.96,1.98,1.1,0.5,0.49,0.56,0.95,1.8,2.88,10.82,11.64,12.42,12.62,12.98,12.25,12.42,12.12,12.86,12.12,11.33,10.49
-58,-156,3.27,3.0986,2.2445,1.6226,1.0982,0.6367,0.935,1.5991,1.8996,2.8186,3.2885,3.2114,4.633,3.6943,2.2613,1.0889,0.4606,0.2405,0.3466,0.853,1.794,3.2429,4.3656,4.9205,3.05,3.4,3.2,2.36,1.33,0.58,-0.06,-0.15,-0.02,0.4,1.14,2.05,10.66,11.63,12.31,12.49,12.79,12.17,12.32,12.01,12.85,12.07,11.3,10.36
-58,-152,2.9083,2.8265,2.203,1.5686,1.1059,0.6602,0.9286,1.6289,1.8682,2.8898,3.2412,3.1685,4.5281,3.6017,2.2637,1.0946,0.4625,0.2458,0.3559,0.8734,1.7755,3.2573,4.404,4.9486,2.25,2.62,2.39,1.58,0.57,-0.06,-0.74,-1.01,-0.81,-0.32,0.4,1.28,10.61,11.56,12.08,12.27,12.56,12.12,12.14,11.79,12.69,12.0,11.22,10.33
-58,-148,2.8013,2.6818,2.0549,1.5101,1.0572,0.6523,0.9804,1.6282,1.8067,2.8346,3.1075,3.0065,4.4652,3.5647,2.2337,1.0692,0.4584,0.2443,0.365,0.8933,1.7748,3.2626,4.356,4.8749,1.67,2.04,1.79,1.03,0.07,-0.58,-1.32,-1.79,-1.52,-0.88,-0.15,0.67,10.59,11.55,11.99,12.25,12.53,11.99,11.89,11.66,12.53,12.03,11.12,10.4
-58,-144,2.6203,2.4461,1.9318,1.4806,1.0418,0.6422,0.9888,1.6702,1.8077,2.6143,3.0022,3.0346,4.4042,3.3799,2.1468,1.038,0.4442,0.2371,0.3586,0.8599,1.7294,3.1428,4.2883,4.7702,1.93,2.21,2.0,1.2,0.29,-0.27,-1.07,-1.68,-1.51,-0.82,-0.01,0.95,10.69,11.65,12.13,12.25,12.6,12.04,11.7,11.82,12.43,12.03,11.25,10.53
